self_rated,eye_height,eyebrow_height,eye_opening,mouth_width,mouth_length,mouth_opening
5,-31.9,-5.7,-14.2,-24.25,70.5,-13.5
5,-31.975,-6.6,-14.3,-24.7,71.1,-13.1
5,-31.8,-6.5,-14.15,-24.7,70.9,-13
5,-31.6,-6.6,-14,-24.6,70.9,-12.9
5,-31.425,-6.55,-14,-24.5,71,-12.9
5,-31.325,-6.7,-13.95,-24.65,70.9,-12.9
5,-31.325,-6.6,-13.95,-24.7,70.9,-12.8
5,-31.225,-6.65,-13.9,-24.55,70.9,-12.8
5,-31.45,-6.6,-13.8,-24.75,71,-12.9
5,-31.35,-6.45,-13.85,-24.75,71,-13
5,-31.35,-6.25,-13.8,-24.75,71,-13.1
5,-31.55,-6.45,-13.8,-24.7,70.9,-13
5,-31.275,-6.4,-13.85,-24.75,70.9,-13
5,-31.35,-6.45,-13.9,-24.8,70.8,-13.1
5,-31.275,-6.35,-13.9,-24.85,70.7,-13.1
5,-30.975,-6.45,-13.85,-24.7,70.6,-13.1
5,-31.225,-6.4,-13.95,-24.75,70.6,-13.2
5,-31.3,-6.3,-13.9,-24.6,70.4,-13.2
5,-31.45,-6.45,-13.95,-24.7,70.4,-13.2
5,-31.325,-6.65,-13.85,-24.75,70.3,-13.2
5,-31.55,-6.55,-13.9,-24.85,70.3,-13.2
5,-31.6,-6.65,-13.95,-24.9,70.3,-13.2
5,-31.775,-6.35,-13.9,-25.05,70.2,-13.3
5,-31.95,-6.45,-14,-25,70.2,-13.3
5,-31.875,-6.55,-14,-24.95,70.2,-13.3
1,-25.975,-4.9,-9.7,-41.55,55.5,-2.6
1,-26.025,-5.25,-9.7,-41.9,55.9,-2.4
1,-26.025,-5.15,-9.8,-41.85,55.7,-2.4
1,-25.975,-5.15,-9.65,-41.9,55.8,-2.3
1,-26,-4.95,-9.7,-41.9,55.7,-2.4
1,-26,-5.15,-9.65,-41.95,55.8,-2.4
1,-25.975,-5.2,-9.65,-41.95,55.7,-2.3
1,-26.075,-5.1,-9.6,-41.95,55.8,-2.3
1,-26.125,-5.05,-9.55,-41.95,55.7,-2.3
1,-26.125,-5,-9.65,-41.95,55.8,-2.4
1,-26.2,-5.05,-9.6,-41.95,55.8,-2.4
1,-26.125,-5.15,-9.7,-42.05,55.9,-2.3
